name,diet,period_description,period,period_from,period_to,lived_in,type,length,taxonomy,named_description,named_by,named_year,species,link
Aardonyx,herbivorous,Early Jurassic 199-189 million years ago,Early Jurassic,199,189,South Africa,sauropod,8.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,Yates Bonnan Neveling Chinsamy and Blackbeard (2009),Yates Bonnan Neveling Chinsamy and Blackbeard,2009,celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html
Abelisaurus,carnivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74,70,Argentina,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),Bonaparte and Novas,1985,comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html
Achelousaurus,herbivorous,Late Cretaceous 83-70 million years ago,Late Cretaceous,83,70,USA,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),Sampson,1995,horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html
Achillobator,carnivorous,Late Cretaceous 99-84 million years ago,Late Cretaceous,99,84,Mongolia,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),Perle Norell and Clark,1999,giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html
Acrocanthosaurus,carnivorous,Early Cretaceous 115-105 million years ago,Early Cretaceous,115,105,USA,large theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stovall and Langston (1950),Stovall and Langston,1950,atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html
Aegyptosaurus,herbivorous,Late Cretaceous 98-93 million years ago,Late Cretaceous,98,93,Egypt,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Stromer (1932),Stromer,1932,baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html
Afrovenator,carnivorous,Early Cretaceous 132-121 million years ago,Early Cretaceous,132,121,Niger,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Sereno Wilson Larsson Dutheil and Sues (1944),Sereno Wilson Larsson Dutheil and Sues,1944,abakensis,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html
Agilisaurus,herbivorous,Late Jurassic 169-159 million years ago,Late Jurassic,169,159,China,euornithopod,1.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Peng (1990),Peng,1990,louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html
Alamosaurus,herbivorous,Late Cretaceous 70-65 million years ago,Late Cretaceous,70,65,USA,sauropod,21.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Gilmore (1922),Gilmore,1922,sanjuanensis,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html
Albertaceratops,herbivorous,Late Cretaceous 80-75 million years ago,Late Cretaceous,80,75,USA,ceratopsian,7.0,Dinosauria Ornithischia,Ryan 2007,Ryan,2007,nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html
Albertosaurus,carnivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,Canada,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),Lamb,1914,libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html
Alectrosaurus,carnivorous,Late Cretaceous 90-70 million years ago,Late Cretaceous,90,70,Mongolia,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Gilmore (1933),Gilmore,1933,olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html
Alioramus,carnivorous,Late Cretaceous 71-65 million years ago,Late Cretaceous,71,65,Mongolia,large theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Kurzanov (1976),Kurzanov,1976,remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html
Allosaurus,carnivorous,Late Jurassic 156-144 million years ago,Late Jurassic,156,144,USA,large theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),Marsh,1877,fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html
Alvarezsaurus,carnivorous,Late Cretaceous 89-85 million years ago,Late Cretaceous,89,85,Argentina,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Bonaparte (1991),Bonaparte,1991,calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html
Amargasaurus,herbivorous,Early Cretaceous 132-127 million years ago,Early Cretaceous,132,127,Argentina,sauropod,12.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Salgado and Bonaparte (1991),Salgado and Bonaparte,1991,cazaui,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html
Ammosaurus,herbivorous,Early Jurassic 195-180 million years ago,Early Jurassic,195,180,USA,sauropod,5.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,Marsh (1891),Marsh,1891,major,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html
Ampelosaurus,herbivorous,Late Cretaceous 71-65 million years ago,Late Cretaceous,71,65,France,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Le Loeuff (1995),Le Loeuff,1995,atacis,https://www.nhm.ac.uk/discover/dino-directory/ampelosaurus.html
Amygdalodon,herbivorous,Mid Jurassic 177-169 million years ago,Mid Jurassic,177,169,Argentina,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Cabrera (1947),Cabrera,1947,patagonicus,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html
Anchiceratops,herbivorous,Late Cretaceous 74-70 million years ago,Late Cretaceous,74,70,Canada,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Brown (1914),Brown,1914,ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html
Anchisaurus,herbivorous,Early Jurassic 190 million years ago,Early Jurassic,190,190,USA,sauropod,2.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,Marsh (1885),Marsh,1885,polyzelous,https://www.nhm.ac.uk/discover/dino-directory/anchisaurus.html
Ankylosaurus,herbivorous,Late Cretaceous 74-67 million years ago,Late Cretaceous,74,67,USA,armoured dinosaur,7.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Brown (1908),Brown,1908,magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html
Anserimimus,carnivorous,Late Cretaceous 84-65 million years ago,Late Cretaceous,84,65,Mongolia,large theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Barsbold (1988),Barsbold,1988,planinychus,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html
Antarctosaurus,herbivorous,Late Cretaceous 84-65 million years ago,Late Cretaceous,84,65,Uruguay,sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,von Huene (1929),von Huene,1929,wichmannianus,https://www.nhm.ac.uk/discover/dino-directory/antarctosaurus.html
Apatosaurus,herbivorous,Late Jurassic 154-145 million years ago,Late Jurassic,154,145,USA,sauropod,21.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1877),Marsh,1877,ajax,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html
Aragosaurus,herbivorous,Early Cretaceous 132-121 million years ago,Early Cretaceous,132,121,Spain,sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Sanz Buscalioni Casanovas and Sanafé (1987),Sanz Buscalioni Casanovas and Sanafé,1987,ischiadicus,https://www.nhm.ac.uk/discover/dino-directory/aragosaurus.html
Aralosaurus,herbivorous,Late Cretaceous 94-84 million years ago,Late Cretaceous,94,84,Kazakhstan,euornithopod,8.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Rozhdestvensky (1968),Rozhdestvensky,1968,tuberiferus,https://www.nhm.ac.uk/discover/dino-directory/aralosaurus.html
Archaeoceratops,herbivorous,Early Cretaceous 121-99 million years ago,Early Cretaceous,121,99,China,ceratopsian,1.3,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Dong and Azuma (1987),Dong and Azuma,1987,oshimai,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html
Archaeopteryx,carnivorous,Late Jurassic 147 million years ago,Late Jurassic,147,147,Germany,small theropod,0.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Archaeopterygidae,Mayer (1861),Mayer,1861,lithographica,https://www.nhm.ac.uk/discover/dino-directory/archaeopteryx.html
Archaeornithomimus,carnivorous,Late Cretaceous 95-70 million years ago,Late Cretaceous,95,70,Uzbekistan,small theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Russell (1972),Russell,1972,asiaticus,https://www.nhm.ac.uk/discover/dino-directory/archaeornithomimus.html
Argentinosaurus,herbivorous,Late Cretaceous 90 million years ago,Late Cretaceous,90,90,Argentina,sauropod,35.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Bonaparte and Coria (1993),Bonaparte and Coria,1993,huinculensis,https://www.nhm.ac.uk/discover/dino-directory/argentinosaurus.html
Arrhinoceratops,herbivorous,Late Cretaceous 72-67 million years ago,Late Cretaceous,72,67,Canada,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Parks (1925),Parks,1925,brachyops,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html
Atlascopcosaurus,herbivorous,Early Cretaceous 121-97 million years ago,Early Cretaceous,121,97,Australia,euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),Rich and Rich,1989,loadsi,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html
Aucasaurus,carnivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84,71,Argentina,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Coria Chiappe and Dingus (2002),Coria Chiappe and Dingus,2002,garridoi,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html
Austrosaurus,herbivorous,Early Cretaceous 112-99 million years ago,Early Cretaceous,112,99,Australia,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Longman (1933),Longman,1933,mckillopi,https://www.nhm.ac.uk/discover/dino-directory/austrosaurus.html
Avaceratops,herbivorous,Late Cretaceous 80-75 million years ago,Late Cretaceous,80,75,USA,ceratopsian,2.3,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Dodson (1986),Dodson,1986,lammersi,https://www.nhm.ac.uk/discover/dino-directory/avaceratops.html
Avimimus,omnivorous,Late Cretaceous 80-75 million years ago,Late Cretaceous,80,75,Mongolia,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,Kurzanov (1981),Kurzanov,1981,portentosus,https://www.nhm.ac.uk/discover/dino-directory/avimimus.html
Bactrosaurus,herbivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84,71,China,euornithopod,6.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Gilmore (1933),Gilmore,1933,johnsoni,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html
Bagaceratops,herbivorous,Late Cretaceous 85-80 million years ago,Late Cretaceous,85,80,Mongolia,ceratopsian,1.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,Maryanska and Osmolska (1975),Maryanska and Osmolska,1975,rozhdestvenskyi,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html
Bambiraptor,carnivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84,71,USA,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Burnham Derstler Currie Bakker Zhou and Ostrom (2000),Burnham Derstler Currie Bakker Zhou and Ostrom,2000,feinbergorum,https://www.nhm.ac.uk/discover/dino-directory/bambiraptor.html
Barapasaurus,herbivorous,Early Jurassic 185-170 million years ago,Early Jurassic,185,170,India,sauropod,14.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Jain Kutty Roy-Chowdhury and Chatterjee (1975),Jain Kutty Roy-Chowdhury and Chatterjee,1975,tagorei,https://www.nhm.ac.uk/discover/dino-directory/barapasaurus.html
Barosaurus,herbivorous,Late Jurassic 155-145 million years ago,Late Jurassic,155,145,USA,sauropod,24.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1890),Marsh,1890,lentus,https://www.nhm.ac.uk/discover/dino-directory/barosaurus.html
Baryonyx,carnivorous,Early Cretaceous 125 million years ago,Early Cretaceous,90,90,United Kingdom,large theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Charig and Milner (1987),Charig and Milner,1987,walkeri,https://www.nhm.ac.uk/discover/dino-directory/baryonyx.html
Becklespinax,carnivorous,Early Cretaceous 142-132 million years ago,Early Cretaceous,142,132,United Kingdom,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,Paul (1988),Paul,1988,altispinax,https://www.nhm.ac.uk/discover/dino-directory/becklespinax.html
Beipiaosaurus,omnivorous,Early Cretaceous 127-121 million years ago,Early Cretaceous,127,121,China,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea,Xu Tang and Wang (1999),Xu Tang and Wang,1999,inexpectus,https://www.nhm.ac.uk/discover/dino-directory/beipiaosaurus.html
Bellusaurus,herbivorous,Mid Jurassic 180-159 million years ago,Mid Jurassic,180,159,China,sauropod,5.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Dong and Azuma (1990),Dong and Azuma,1990,sui,https://www.nhm.ac.uk/discover/dino-directory/bellusaurus.html
Borogovia,carnivorous,Late Cretaceous 84-65 million years ago,Late Cretaceous,84,65,Mongolia,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osmólska (1987),Osmólska,1987,gracilicrus,https://www.nhm.ac.uk/discover/dino-directory/borogovia.html
Brachiosaurus,herbivorous,Late Jurassic 155-140 million years ago,Late Jurassic,155,140,USA,sauropod,30.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),Riggs,1903,altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html
Brachylophosaurus,herbivorous,Late Cretaceous 89-88 million years ago,Late Cretaceous,89,88,USA,euornithopod,7.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,C. M. Sternberg (1953),C. M. Sternberg,1953,canadensis,https://www.nhm.ac.uk/discover/dino-directory/brachylophosaurus.html
Brachytrachelopan,herbivorous,Mid Jurassic 150 million years ago,Mid Jurassic,150,150,Argentina,sauropod,10.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Rauhut Remes Fechner Cladera and Puerta (2005),Rauhut Remes Fechner Cladera and Puerta,2005,mesai,https://www.nhm.ac.uk/discover/dino-directory/brachytrachelopan.html
Buitreraptor,carnivorous,Late Cretaceous 99-90 million years ago,Late Cretaceous,99,90,Argentina,small theropod,1.3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae,Makovicky Apesteguía &amp; Agnolin (2005),Makovicky Apesteguía &amp; Agnolin,2005,gonzalezorum,https://www.nhm.ac.uk/discover/dino-directory/buitreraptor.html
Camarasaurus,herbivorous,Late Jurassic 150-140 million years ago,Late Jurassic,150,140,USA,sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,Cope (1877),Cope,1877,supremus,https://www.nhm.ac.uk/discover/dino-directory/camarasaurus.html
Camptosaurus,herbivorous,Late Jurassic 155-145 million years ago,Late Jurassic,155,145,USA,euornithopod,5.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,Marsh (1885),Marsh,1885,dispar,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html
Carcharodontosaurus,carnivorous,Late Cretaceous 98-94 million years ago,Late Cretaceous,98,94,North Africa,large theropod,15.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stromer (1931),Stromer,1931,saharicus,https://www.nhm.ac.uk/discover/dino-directory/carcharodontosaurus.html
Carnotaurus,carnivorous,Late Cretaceous 70 million years ago,Late Cretaceous,70,70,Argentina,large theropod,7.6,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Bonaparte (1985),Bonaparte,1985,sastrei,https://www.nhm.ac.uk/discover/dino-directory/carnotaurus.html
Caudipteryx,omnivorous,Early Cretaceous 125-122 million years ago,Early Cretaceous,125,122,China,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caudipterygidae,Ji Currie Norell and Ji. (1998),Ji Currie Norell and Ji.,1998,zoui,https://www.nhm.ac.uk/discover/dino-directory/caudipteryx.html
Cedarpelta,herbivorous,Early Cretaceous 142-127 million years ago,Early Cretaceous,142,127,USA,armoured dinosaur,10.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Carpenter Kirkland Burge and Bird (2001),Carpenter Kirkland Burge and Bird,2001,bilbeyhallorum,https://www.nhm.ac.uk/discover/dino-directory/cedarpelta.html
Centrosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,Canada,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Marsh (1884),Marsh,1884,apertus,https://www.nhm.ac.uk/discover/dino-directory/centrosaurus.html
Ceratosaurus,carnivorous,Late Jurassic 153-148 million years ago,Late Jurassic,153,148,USA,large theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,von Huene (1927),von Huene,1927,,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html
Cetiosauriscus,herbivorous,Mid Jurassic 175-160 million years ago,Mid Jurassic,175,160,United Kingdom,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea,Phillips (1871),Phillips,1871,,https://www.nhm.ac.uk/discover/dino-directory/cetiosauriscus.html
Cetiosaurus,herbivorous,Mid Jurassic 170-160 million years ago,Mid Jurassic,170,160,United Kingdom,sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Zhao Cheng and Xu (1999),Zhao Cheng and Xu,1999,,https://www.nhm.ac.uk/discover/dino-directory/cetiosaurus.html
Chaoyangsaurus,herbivorous,Late Jurassic 152-145 million years ago,Late Jurassic,152,145,China,ceratopsian,1.1,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,,,,belli,https://www.nhm.ac.uk/discover/dino-directory/chaoyangsaurus.html
Chasmosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,Canada,ceratopsian,5.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Long and Murry (1995),Long and Murry,1995,,https://www.nhm.ac.uk/discover/dino-directory/chasmosaurus.html
Chindesaurus,carnivorous,Late Triassic 227-210 million years ago,Late Triassic,227,210,USA,small theropod,4.0,Dinosauria Saurischia Theropoda Herrerasauridae,Yeh (1975),Yeh,1975,,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html
Chinshakiangosaurus,herbivorous,Late Jurassic 159-142 million years ago,Late Jurassic,159,142,China,sauropod,11.0,Dinosauria Saurischia Sauropodomorpha Sauropoda,Gilmore (1924),Gilmore,1924,,https://www.nhm.ac.uk/discover/dino-directory/chinshakiangosaurus.html
Chirostenotes,omnivorous,Late Jurassic 79-67 million years ago,Late Jurassic,79,67,Canada,small theropod,1.7,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Corro (1974),Corro,1974,,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html
Chubutisaurus,herbivorous,Early Cretaceous 112-99 million years ago,Early Cretaceous,112,99,Argentina,sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Dong Zhou and Zhang (1983),Dong Zhou and Zhang,1983,,https://www.nhm.ac.uk/discover/dino-directory/chubutisaurus.html
Chungkingosaurus,herbivorous,Late Jurassic 159-142 million years ago,Late Jurassic,159,142,China,armoured dinosaur,4.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Clark Norell and Barsbold (2001),Clark Norell and Barsbold,2001,,https://www.nhm.ac.uk/discover/dino-directory/chungkingosaurus.html
Citipati,omnivorous,Late Cretaceous 81-75 million years ago,Late Cretaceous,81,75,Mongolia,small theropod,2.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,,,,bauri,https://www.nhm.ac.uk/discover/dino-directory/citipati.html
Coelophysis,carnivorous,Late Triassic 225-190 million years ago,Late Triassic,225,190,Zimbabwe,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,Marsh (1879),Marsh,1879,,https://www.nhm.ac.uk/discover/dino-directory/coelophysis.html
Coelurus,carnivorous,Late Jurassic 155-145 million years ago,Late Jurassic,155,145,USA,small theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Bonaparte (1978),Bonaparte,1978,,https://www.nhm.ac.uk/discover/dino-directory/coelurus.html
Coloradisaurus,omnivorous,Late Triassic 221-210 million years ago,Late Triassic,221,210,Argentina,sauropod,4.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Wagner (1859),Wagner,1859,,https://www.nhm.ac.uk/discover/dino-directory/coloradisaurus.html
Compsognathus,carnivorous,Late Jurassic 145-140 million years ago,Late Jurassic,145,140,Germany,small theropod,0.65,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Barsbold (1986),Barsbold,1986,,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html
Conchoraptor,carnivorous,Late Cretaceous 81-76 million years ago,Late Cretaceous,81,76,Mongolia,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Hou Zhou Gu and Zhang (1995),Hou Zhou Gu and Zhang,1995,,https://www.nhm.ac.uk/discover/dino-directory/conchoraptor.html
Confuciusornis,carnivorous,Early Cretaceous 127-121 million years ago,Early Cretaceous,127,121,China,small theropod,0.25,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Ornithurae Avibrevicauda Pygostylia Confuciusornithidae,Brown (1914),Brown,1914,,https://www.nhm.ac.uk/discover/dino-directory/confuciusornis.html
Corythosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,USA,euornithopod,10.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Hammer and Hickerson (1994),Hammer and Hickerson,1994,,https://www.nhm.ac.uk/discover/dino-directory/corythosaurus.html
Cryolophosaurus,carnivorous,Early Jurassic 170 million years ago,Early Jurassic,170,170,Antarctica,large theropod,8.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Lucas (1902),Lucas,1902,,https://www.nhm.ac.uk/discover/dino-directory/cryolophosaurus.html
