name,diet,period_description,period,period_from,period_to,lived_in,type,length,taxonomy,named_description,named_by,named_year,species,link
Lambeosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Late Cretaceous,76,74,Canada,euornithopod,9.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Parks (1923),Parks,1923,lambei,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html
Lapparentosaurus,herbivorous,Mid Jurassic 169-164 million years ago,Mid Jurassic,169,164,Madagascar,sauropod,,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,Bonaparte (1986),Bonaparte,1986,madagascariensis,https://www.nhm.ac.uk/discover/dino-directory/lapparentosaurus.html
Leaellynasaura,herbivorous,Early Cretaceous 115-110 million years ago,Early Cretaceous,115,110,Australia,euornithopod,2.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),Rich and Rich,1989,amicagraphica,https://www.nhm.ac.uk/discover/dino-directory/leaellynasaura.html
Leptoceratops,herbivorous,Late Cretaceous 67-65 million years ago,Late Cretaceous,67,65,USA,ceratopsian,3.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Brown (1914),Brown,1914,gracilis,https://www.nhm.ac.uk/discover/dino-directory/leptoceratops.html
Lesothosaurus,herbivorous,Early Jurassic 213-200 million years ago,Early Jurassic,213,200,Lesotho,small ornithischian,1.0,Dinosauria Ornithischia,Galton (1978),Galton,1978,diagnosticus,https://www.nhm.ac.uk/discover/dino-directory/lesothosaurus.html
Liaoceratops,herbivorous,Early Cretaceous 127-121 million years ago,Early Cretaceous,127,121,China,ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Xu Makovicky Wang Norell and You (2002),Xu Makovicky Wang Norell and You,2002,yanzigouensis,https://www.nhm.ac.uk/discover/dino-directory/liaoceratops.html
Ligabuesaurus,herbivorous,Early Cretaceous 121-99 million years ago,Early Cretaceous,121,99,Argentina,sauropod,24.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Bonaparte González Riga and Apesteguía (2006),Bonaparte González Riga and Apesteguía,2006,leanzai,https://www.nhm.ac.uk/discover/dino-directory/ligabuesaurus.html
Liliensternus,carnivorous,Late Triassic 205-202 million years ago,Late Triassic,205,202,Germany,small theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda,Huene (1934),Huene,1934,liliensterni,https://www.nhm.ac.uk/discover/dino-directory/liliensternus.html
Lophorhothon,herbivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84,71,USA,euornithopod,4.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Xu Makovicky Wang Norell and You (1960),Xu Makovicky Wang Norell and You,1960,atopus,https://www.nhm.ac.uk/discover/dino-directory/lophorhothon.html
Lophostropheus,carnivorous,Early Jurassic 203-196 million years ago,Early Jurassic,203,196,France,large theropod,6.2,Dinosauria Saurischia,Ezcurra and Cuny 2007 (1993),Ezcurra and Cuny 2007,1993,airelensis,https://www.nhm.ac.uk/discover/dino-directory/lophostropheus.html
Lufengosaurus,herbivorous,Early Jurassic 200-195 million years ago,Early Jurassic,200,195,China,sauropod,6.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Young (1941),Young,1941,huenei,https://www.nhm.ac.uk/discover/dino-directory/lufengosaurus.html
Lurdusaurus,herbivorous,Early Cretaceous 121-112 million years ago,Early Cretaceous,121,112,Niger,euornithopod,9.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Taquet &amp; Russell (1999),Taquet &amp; Russell,1999,arenatus,https://www.nhm.ac.uk/discover/dino-directory/lurdusaurus.html
Lycorhinus,herbivorous,Late Triassic 205-195 million years ago,Late Triassic,205,195,South Africa,euornithopod,1.2,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Haughton (1924),Haughton,1924,angustidens,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html
Magyarosaurus,herbivorous,Late Cretaceous 71-65 million years ago,Late Cretaceous,71,65,Romania,sauropod,5.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Nopcsa (1915),Nopcsa,1915,dacus,https://www.nhm.ac.uk/discover/dino-directory/magyarosaurus.html
Maiasaura,herbivorous,Late Cretaceous 80-75 million years ago,Late Cretaceous,80,75,USA,euornithopod,9.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Horner and Makela (1979),Horner and Makela,1979,peeblesorum,https://www.nhm.ac.uk/discover/dino-directory/maiasaura.html
Majungasaurus,carnivorous,Late Cretaceous 84-71 million years ago,Late Cretaceous,84,71,Madagascar,large theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Sues &amp; Taquet (1979),Sues &amp; Taquet,1979,atopus,https://www.nhm.ac.uk/discover/dino-directory/majungasaurus.html
Malawisaurus,herbivorous,Early Cretaceous 121-112 million years ago,Early Cretaceous,121,112,Malawi,sauropod,9.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Haughton (1928),Haughton,1928,dixeyi,https://www.nhm.ac.uk/discover/dino-directory/malawisaurus.html
Mamenchisaurus,herbivorous,Late Jurassic 155-145 million years ago,Late Jurassic,155,145,China,sauropod,22.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Young (1954),Young,1954,constructus,https://www.nhm.ac.uk/discover/dino-directory/mamenchisaurus.html
